County,Year,healthcare,income,smoking
McDowell,2019,2130,26500.0,28.0
McDowell,2020,3690,27300.0,30.0
McDowell,2021,3640,29100.0,35.0
Mercer,2018,1530,36900.0,24.0
Mercer,2019,1590,36200.0,24.0
Mercer,2020,1490,37900.0,25.0
Mercer,2021,1600,41800.0,26.0
Mineral,2018,3430,45400.0,22.0
Mineral,2019,3050,45100.0,22.0
Mineral,2020,3020,48600.0,21.0
Mineral,2021,2990,49700.0,25.0
Mingo,2018,3160,30600.0,25.0
Mingo,2019,4930,30900.0,25.0
Mingo,2020,4830,32900.0,30.0
Mingo,2021,5950,34700.0,34.0
Monongalia,2018,810,49700.0,20.0
Monongalia,2019,770,50600.0,20.0
Monongalia,2020,760,51100.0,20.0
Monongalia,2021,730,55700.0,21.0
Monroe,2018,2250,38400.0,22.0
Monroe,2019,2230,44200.0,22.0
Monroe,2020,2680,38200.0,23.0
Monroe,2021,2660,44700.0,28.0
Morgan,2018,1950,59600.0,20.0
Morgan,2019,1960,44400.0,20.0
Morgan,2020,1770,49500.0,21.0
Morgan,2021,1980,50700.0,25.0
Nicholas,2018,1110,37400.0,22.0
Nicholas,2019,1100,37400.0,22.0
Nicholas,2020,1040,38600.0,21.0
Nicholas,2021,1080,40000.0,28.0
Ohio,2018,580,43200.0,19.0
Ohio,2019,570,47800.0,19.0
Ohio,2020,630,48700.0,22.0
Ohio,2021,600,50400.0,22.0
Pendleton,2018,2410,40000.0,21.0
Pendleton,2019,2350,41300.0,21.0
Pendleton,2020,2330,40400.0,22.0
Pendleton,2021,2330,43500.0,28.0
Pleasants,2018,3840,47300.0,21.0
Pleasants,2019,3800,47100.0,21.0
Pleasants,2020,7510,50800.0,22.0
Pleasants,2021,7510,55000.0,27.0
Pocahontas,2018,2150,35900.0,22.0
Pocahontas,2019,2130,35400.0,22.0
Pocahontas,2020,2110,39500.0,23.0
Pocahontas,2021,2100,39500.0,27.0
Preston,2018,2830,44400.0,22.0
Preston,2019,3070,45200.0,22.0
Preston,2020,2590,47100.0,21.0
Preston,2021,2420,50800.0,25.0
Putnam,2018,920,56800.0,18.0
Putnam,2019,930,59800.0,18.0
Putnam,2020,950,62000.0,20.0
Putnam,2021,930,67000.0,22.0
Raleigh,2018,1060,42300.0,23.0
Raleigh,2019,1110,41300.0,23.0
Raleigh,2020,1140,41300.0,25.0
Raleigh,2021,1180,45400.0,27.0
Randolph,2018,1460,38500.0,24.0
Randolph,2019,1260,37200.0,24.0
Randolph,2020,1150,40100.0,22.0
Randolph,2021,1370,46300.0,28.0
Ritchie,2018,4990,42200.0,24.0
Ritchie,2019,4940,40600.0,24.0
Ritchie,2020,4890,43700.0,22.0
Ritchie,2021,4860,46100.0,28.0
Roane,2018,2060,35100.0,23.0
Roane,2019,1780,37100.0,23.0
Roane,2020,1760,36700.0,23.0
Roane,2021,1990,41700.0,30.0
Summers,2018,2650,31500.0,23.0
Summers,2019,2570,32400.0,23.0
Summers,2020,2600,34800.0,24.0
Summers,2021,3190,37000.0,28.0
Taylor,2018,3380,44600.0,22.0
Taylor,2019,2810,45400.0,22.0
Taylor,2020,2820,46400.0,21.0
Taylor,2021,2810,48300.0,26.0
Tucker,2018,2320,42100.0,20.0
Tucker,2019,2310,39500.0,20.0
Tucker,2020,2310,48100.0,21.0
Tucker,2021,2320,47200.0,26.0
Tyler,2018,2240,42400.0,21.0
Tyler,2019,2240,44000.0,21.0
Tyler,2020,1760,46100.0,21.0
Tyler,2021,2190,48300.0,26.0
Upshur,2018,2250,40500.0,22.0
Upshur,2019,2240,37900.0,22.0
Upshur,2020,2450,41200.0,24.0
Upshur,2021,2030,45100.0,28.0
Wayne,2018,1640,40900.0,24.0
Wayne,2019,1560,39400.0,24.0
Wayne,2020,1830,38700.0,23.0
Wayne,2021,1820,42100.0,29.0
Webster,2018,1750,30600.0,24.0
Webster,2019,2160,31400.0,24.0
Webster,2020,2790,34100.0,23.0
Webster,2021,2760,34400.0,31.0
Wetzel,2018,1980,42700.0,24.0
Wetzel,2019,1740,41900.0,24.0
Wetzel,2020,1930,44700.0,24.0
Wetzel,2021,1910,46800.0,28.0
Wirt,2018,5880,37500.0,23.0
Wirt,2019,5810,42300.0,23.0
Wirt,2020,5790,44800.0,23.0
Wirt,2021,5830,48600.0,29.0
Wood,2018,1170,46700.0,21.0
Wood,2019,1240,44700.0,21.0
Wood,2020,1220,45300.0,24.0
Wood,2021,1170,49200.0,25.0
Wyoming,2018,3690,36000.0,25.0
Wyoming,2019,3630,34600.0,25.0
Wyoming,2020,3540,35500.0,24.0
Wyoming,2021,3460,42800.0,29.0
